Gene ID,gene_name,gene_product,"B1-MG data, non-normalized",,,"B1-MG data, normalized",,,"MG-SG data, non-normalized",,,"MG-SG data, normalized",,,"SG-B2 data, non-normalized",,,"SG-B2 data, normalized",,,"SG-B2 data, normalized, BS fitness-corrected",,,"Blood stage fitness data (Bushell et al., 2017)",,Classified as metabolic?,Metabolic subsystem(s),Go Biological Process (computed),GO Biological Process (curated)
PBANKA_1344200,,"conserved Plasmodium protein, unknown function",-0.747,0.232,no power,-1.172,0.253,no power,0.160,0.141,not reduced,-0.258,0.157,not reduced,0.241,0.205,not reduced,-0.405,0.225,not reduced,-0.408,0.252,not reduced,0.996,Dispensable,,, , 
PBANKA_0405600,,"EB1 homolog, putative",-1.138,0.079,no power,-1.491,0.096,reduced,0.451,0.089,not reduced,-0.016,0.112,not reduced,0.548,0.108,not reduced,-0.253,0.137,not reduced,-0.394,0.202,not reduced,1.019,Dispensable,,, , 
PBANKA_1359600,P48/45,transmission blocking target antigen precursor,-0.697,0.168,no power,-1.467,0.213,reduced,0.629,0.135,not reduced,-0.125,0.179,not reduced,0.293,0.099,not reduced,-0.579,0.130,not reduced,-0.347,0.175,not reduced,0.945,Dispensable,,, , 
PBANKA_1040200,,BIR protein,-0.117,0.699,no power,-0.931,0.748,no power,0.316,0.651,not reduced,-0.176,0.714,no power,0.783,0.741,not reduced,-0.887,0.828,no power,-0.325,0.872,no power,0.884,Dispensable,,, , 
PBANKA_0413500,,"conserved Plasmodium protein, unknown function",-0.794,0.123,no power,-1.128,0.153,no power,-0.046,0.131,not reduced,-0.364,0.161,not reduced,-0.004,0.086,not reduced,-0.270,0.106,not reduced,-0.259,0.154,not reduced,0.970,Dispensable,,, , 
PBANKA_1329400,,"conserved Plasmodium protein, unknown function",-0.173,0.637,no power,-0.253,0.824,no power,-0.351,0.674,no power,-0.440,0.857,no power,0.179,0.672,no power,0.006,0.847,no power,-0.228,0.873,no power,1.056,Dispensable,,, , 
PBANKA_0100100,,fam-a protein,-0.288,0.375,no power,-0.808,0.421,no power,-0.130,0.450,no power,-0.538,0.507,no power,0.784,0.379,not reduced,0.007,0.449,not reduced,-0.195,0.494,no power,1.033,Dispensable,,, , 
PBANKA_1226800,RAD54,"DNA repair and recombination protein RAD54, putative",-0.446,0.574,no power,-0.780,0.684,no power,0.683,0.107,not reduced,-0.990,0.149,no power,0.166,0.293,not reduced,-0.813,0.330,no power,-0.194,0.572,no power,0.782,Slow,,, , 
PBANKA_0716500,,"RNA-binding protein, putative",-0.535,0.420,no power,-0.957,0.521,no power,0.074,0.092,not reduced,-1.593,0.133,reduced,0.479,0.106,not reduced,-0.498,0.133,not reduced,-0.194,0.230,not reduced,0.938,Dispensable,,, , 
PBANKA_1216800,,"conserved Plasmodium protein, unknown function",-0.863,0.133,no power,-1.219,0.150,no power,0.469,0.154,not reduced,-0.014,0.179,not reduced,0.583,0.192,not reduced,-0.189,0.222,not reduced,-0.191,0.295,not reduced,1.015,Dispensable,,, , 
PBANKA_0315800,,"ribosome associated membrane protein RAMP4, putative",0.100,0.633,no power,0.015,0.820,no power,-0.055,0.587,no power,-0.136,0.766,no power,-0.105,0.547,no power,-0.275,0.719,no power,-0.165,0.734,no power,0.975,Dispensable,,, , 
PBANKA_1202200,,"U5 small nuclear ribonuclear protein, putative",-0.708,3.051,no power,-0.853,3.248,no power,0.609,3.577,no power,0.527,3.757,no power,-0.768,3.682,no power,-0.930,3.858,no power,-0.151,4.174,no power,0.837,Insufficient data,,, , 
PBANKA_0306100,P230,transmission-blocking target antigen s230,-1.084,0.435,no power,-1.677,0.483,no power,-1.191,0.542,no power,-1.553,0.601,no power,1.112,0.561,not reduced,-0.013,0.633,no power,-0.102,0.670,no power,1.022,Dispensable,,, , 
PBANKA_1202000,IMC1c,inner membrane complex protein 1c,-0.756,0.385,no power,-1.135,0.404,no power,-0.250,0.369,not reduced,-0.612,0.396,no power,-0.955,0.999,no power,-1.752,1.092,no power,-0.099,1.126,no power,0.683,Slow,,, , 
PBANKA_0912600,,"conserved Plasmodium protein, unknown function",-0.401,0.960,no power,-0.490,1.147,no power,-0.178,1.139,no power,-0.267,1.325,no power,-0.118,1.039,no power,-0.271,1.219,no power,-0.089,1.225,no power,0.959,Dispensable,,, , 
PBANKA_0832900,,"protein MAM3, putative",-0.883,0.121,no power,-1.257,0.140,no power,0.088,0.145,not reduced,-0.236,0.170,not reduced,-1.185,0.848,no power,-2.255,0.953,no power,-0.085,0.980,no power,0.606,Slow,,, , 
PBANKA_1120100,,"conserved Plasmodium protein, unknown function",0.390,1.065,no power,-0.041,1.166,no power,-0.160,0.184,not reduced,-1.840,0.226,reduced,0.598,0.436,not reduced,-0.408,0.467,no power,-0.036,0.503,no power,0.900,Dispensable,,, , 
PBANKA_1413300,,"ubiquitin-like protein, putative",0.105,0.633,no power,0.019,0.820,no power,-0.026,0.587,no power,-0.107,0.766,no power,0.255,0.552,not reduced,0.086,0.724,no power,-0.014,0.736,no power,1.023,Dispensable,,, , 
PBANKA_1113800,UvrD,"ATP-dependent DNA helicase UvrD, putative",0.033,0.956,no power,-0.077,1.144,no power,-0.082,1.087,no power,-0.217,1.281,no power,-0.075,1.009,no power,-0.202,1.192,no power,-0.013,1.203,no power,0.959,Dispensable,,, , 
PBANKA_0921600,,"RNA-binding protein, putative",-0.890,0.633,no power,-0.975,0.820,no power,0.136,0.587,no power,0.054,0.766,no power,0.298,0.547,not reduced,0.127,0.719,no power,-0.004,0.723,no power,1.031,Dispensable,,, , 
PBANKA_1033300,,"conserved Plasmodium protein, unknown function",-0.093,0.473,no power,-0.500,0.572,no power,-0.443,0.104,not reduced,-2.084,0.145,reduced,0.838,0.074,not reduced,-0.094,0.104,not reduced,0.009,0.351,not reduced,0.983,Dispensable,,, , 
PBANKA_1457700,,"conserved Plasmodium protein, unknown function",0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.019,0.747,no power,1.061,Dispensable,,, , 
PBANKA_1125300,,"conserved Plasmodium protein, unknown function",-0.221,0.840,no power,-0.321,1.027,no power,0.055,0.847,no power,-0.027,1.027,no power,0.122,0.763,no power,-0.043,0.936,no power,0.047,0.952,no power,0.978,Dispensable,,, , 
PBANKA_1212600,HAP2,male gamete fusion factor HAP2,-0.177,0.503,no power,-0.563,0.573,no power,0.656,0.483,not reduced,0.275,0.557,not reduced,0.159,0.520,not reduced,0.131,0.591,no power,0.056,0.633,no power,1.012,Dispensable,,, , 
PBANKA_0105100,,"conserved Plasmodium protein, unknown function",0.170,0.594,no power,-0.213,0.688,no power,0.183,0.579,not reduced,-0.294,0.683,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.057,0.744,no power,1.052,Dispensable,,, , 
PBANKA_0908700,,"conserved Plasmodium protein, unknown function",-0.869,0.249,no power,-1.416,0.267,no power,-0.163,0.336,not reduced,-0.510,0.353,no power,0.351,0.523,not reduced,-0.321,0.543,no power,0.121,0.552,not reduced,0.903,Slow,,, , 
PBANKA_0702000,,"conserved Plasmodium protein, unknown function",-1.047,0.139,no power,-1.553,0.158,reduced,0.098,0.162,not reduced,-0.377,0.183,not reduced,1.195,0.136,not reduced,0.266,0.160,not reduced,0.146,0.198,not reduced,1.001,Dispensable,,, , 
PBANKA_1326100,,"conserved Plasmodium protein, unknown function",0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.157,0.743,no power,1.028,Dispensable,,, , 
PBANKA_0808900,ClpY,"ATP-dependent protease ATPase subunit ClpY, putative",-3.305,2.606,no power,-3.409,2.796,no power,1.122,3.089,no power,1.032,3.271,no power,-1.253,3.468,no power,-1.430,3.642,no power,0.179,3.651,no power,0.690,Slow,,, , 
PBANKA_0315200,SNRPD2,"small nuclear ribonucleoprotein Sm D2, putative",0.316,3.054,no power,0.177,3.251,no power,0.705,3.577,no power,0.623,3.757,no power,-0.428,3.682,no power,-0.596,3.858,no power,0.179,3.945,no power,0.835,Dispensable,,, , 
PBANKA_0502650,,"conserved Plasmodium protein, unknown function",-0.900,0.182,no power,-1.324,0.205,no power,-0.408,0.154,not reduced,-0.884,0.173,no power,0.743,0.162,not reduced,0.067,0.187,not reduced,0.181,0.429,not reduced,0.988,Dispensable,,, , 
PBANKA_1334900,,"conserved Plasmodium protein, unknown function",0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.194,0.759,no power,1.019,Dispensable,,, , 
PBANKA_1010500,HOP,"Hsp70/Hsp90 organizing protein, putative",-0.769,1.522,no power,-0.839,1.713,no power,0.395,1.507,no power,0.313,1.700,no power,-0.306,1.619,no power,-0.588,1.853,no power,0.197,1.894,no power,0.832,Dispensable,,, , 
PBANKA_1124700,,"conserved Plasmodium protein, unknown function",0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.223,0.751,no power,1.012,Dispensable,,, , 
PBANKA_1216300,,"conserved Plasmodium protein, unknown function",-1.538,0.348,no power,-2.144,0.384,reduced,-0.876,0.376,no power,-1.462,0.414,no power,1.174,0.317,not reduced,0.396,0.336,not reduced,0.228,0.415,not reduced,1.028,Dispensable,,, , 
PBANKA_1109600,,"conserved Plasmodium protein, unknown function",-1.148,0.373,no power,-1.919,0.423,reduced,-0.627,0.493,no power,-1.026,0.543,no power,1.399,0.598,not reduced,0.134,0.676,no power,0.230,0.711,no power,0.981,Dispensable,,, , 
PBANKA_0102400,,"conserved Plasmodium protein, unknown function",0.243,0.711,no power,-0.571,0.761,no power,0.016,0.652,no power,-0.502,0.715,no power,2.126,0.700,not reduced,0.178,0.802,no power,0.245,0.817,no power,0.985,Dispensable,,, , 
PBANKA_0410650,,"conserved Plasmodium protein, unknown function",0.165,0.588,no power,-0.214,0.680,no power,-0.066,0.570,no power,-0.597,0.669,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.287,0.749,no power,0.997,Dispensable,,, , 
PBANKA_1027300,,"conserved Plasmodium protein, unknown function",0.644,1.124,no power,0.193,1.227,no power,-1.677,0.256,reduced,-3.345,0.298,reduced,1.267,0.318,not reduced,0.280,0.346,not reduced,0.294,0.434,not reduced,0.997,Dispensable,,, , 
PBANKA_0827400,,"conserved Plasmodium protein, unknown function",0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.314,0.758,no power,0.991,Dispensable,,, , 
PBANKA_0701000,SLTRiP,NA,-1.006,0.280,no power,-1.770,0.298,reduced,0.475,0.329,not reduced,0.100,0.349,not reduced,0.205,0.722,no power,-0.586,0.746,no power,0.319,0.770,no power,0.811,Slow,,, , 
PBANKA_0906200,,"conserved Plasmodium protein, unknown function",-1.108,0.064,no power,-1.575,0.079,reduced,-0.496,0.086,not reduced,-0.707,0.103,not reduced,0.278,0.126,not reduced,-0.126,0.154,not reduced,0.322,0.241,not reduced,0.889,Dispensable,,, , 
PBANKA_0811100,,"helicase SKI2W, putative",-0.637,1.152,no power,-0.775,1.342,no power,-0.484,1.479,no power,-0.595,1.669,no power,0.083,1.556,no power,-0.050,1.746,no power,0.326,1.758,no power,0.918,Dispensable,,, , 
PBANKA_0415900,,"conserved Plasmodium protein, unknown function",-0.166,1.034,no power,-0.597,1.136,no power,-0.191,0.180,not reduced,-1.869,0.222,reduced,0.620,0.197,not reduced,-0.356,0.224,not reduced,0.334,0.308,not reduced,0.854,Slow,,, , 
PBANKA_0907100,IMC1b,inner membrane complex protein 1b,0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.335,0.755,no power,0.986,Dispensable,,, , 
PBANKA_1435400,,"conserved Plasmodium protein, unknown function",-0.012,0.711,no power,-0.842,0.761,no power,0.396,0.652,not reduced,-0.089,0.715,no power,0.962,0.744,not reduced,-0.705,0.832,no power,0.360,0.925,no power,0.789,Dispensable,,, , 
PBANKA_1334700,,"conserved Plasmodium protein, unknown function",0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.426,0.773,no power,0.965,Dispensable,,, , 
PBANKA_1112700,,"conserved Plasmodium protein, unknown function",-0.277,0.691,no power,-1.085,0.739,no power,-0.210,0.652,no power,-0.748,0.715,no power,1.778,0.744,not reduced,0.195,0.832,no power,0.436,0.856,no power,0.945,Dispensable,,, , 
PBANKA_1114700,ROM9,rhomboid protease ROM9,0.022,0.902,no power,-0.080,1.092,no power,-0.080,0.945,no power,-0.167,1.131,no power,0.504,0.840,no power,0.356,1.015,no power,0.486,1.025,no power,0.971,Dispensable,,, , 
PBANKA_1132300,,"conserved Plasmodium protein, unknown function",0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.495,0.755,no power,0.950,Dispensable,,, , 
PBANKA_0908100,,"conserved Plasmodium protein, unknown function",0.766,0.900,no power,0.477,0.929,no power,1.377,0.888,not reduced,-1.849,1.016,no power,-0.892,1.174,no power,-1.225,1.191,no power,0.502,2.361,no power,0.680,Insufficient data,,, , 
PBANKA_1230700,,"conserved Plasmodium protein, unknown function",0.466,0.973,no power,0.053,1.072,no power,-1.623,0.197,reduced,-3.285,0.239,reduced,0.975,0.270,not reduced,0.003,0.297,not reduced,0.512,0.485,not reduced,0.889,Dispensable,,, , 
PBANKA_1020300,,"ankyrin, putative",0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.516,0.739,not reduced,0.946,Dispensable,,, , 
PBANKA_1335600,,"M1-family alanyl aminopeptidase, putative",0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.530,0.753,not reduced,0.943,Dispensable,,, , 
PBANKA_1202900,,"conserved Plasmodium protein, unknown function",0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.541,0.767,not reduced,0.940,Dispensable,,, , 
PBANKA_0106300,,"conserved Plasmodium protein, unknown function",-0.246,1.024,no power,-0.654,1.040,no power,0.455,0.982,no power,0.249,0.999,no power,-0.075,0.820,no power,-0.438,0.849,no power,0.547,0.881,no power,0.796,Slow,,, , 
PBANKA_1138900,,"conserved Plasmodium protein, unknown function",0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.580,0.742,not reduced,0.932,Dispensable,,, , 
PBANKA_0821300,,"conserved Plasmodium protein, unknown function",-0.531,0.267,no power,-1.121,0.300,no power,-0.223,0.231,not reduced,-0.760,0.267,no power,1.096,0.147,not reduced,0.345,0.164,not reduced,0.601,1.117,no power,0.787,Dispensable,,, , 
PBANKA_1115000,,"conserved Plasmodium protein, unknown function",0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.605,0.764,not reduced,0.926,Dispensable,,, , 
PBANKA_0316600,Pb235,"reticulocyte binding protein, putative",0.168,0.596,no power,-0.213,0.691,no power,0.183,0.579,not reduced,-0.294,0.683,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.640,0.754,not reduced,0.919,Dispensable,,, , 
PBANKA_0927700,,"conserved Plasmodium protein, unknown function",0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.662,0.770,not reduced,0.914,Dispensable,,, , 
PBANKA_1010800,CAF16,"CCR4-associated factor 16, putative",-1.080,0.086,no power,-1.605,0.103,reduced,-0.734,0.105,not reduced,-1.100,0.122,no power,0.904,0.118,not reduced,0.194,0.137,not reduced,0.704,0.199,not reduced,0.850,Slow,,, , 
PBANKA_0404300,,"P-loop containing nucleoside triphosphate hydrolase, putative",0.168,0.596,no power,-0.213,0.691,no power,0.183,0.579,not reduced,-0.294,0.683,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.709,0.757,not reduced,0.904,Dispensable,,, , 
PBANKA_1124600,,"conserved Plasmodium protein, unknown function",-1.074,0.047,no power,-1.652,0.063,reduced,-0.087,0.046,not reduced,-0.317,0.064,not reduced,0.228,0.135,not reduced,0.019,0.171,not reduced,0.720,0.261,not reduced,0.837,Slow,,, , 
PBANKA_1011600,,"chromatin assembly factor 1 P55 subunit, putative",-0.638,1.024,no power,-1.050,1.040,no power,0.676,0.953,no power,0.469,0.969,no power,0.007,0.788,no power,-0.336,0.816,no power,0.726,0.859,not reduced,0.782,Slow,,, , 
PBANKA_0406200,,"conserved Plasmodium protein, unknown function",0.243,0.711,no power,-0.571,0.761,no power,0.016,0.652,no power,-0.502,0.715,no power,1.777,0.744,not reduced,0.195,0.832,no power,0.738,1.026,no power,0.881,Dispensable,,, , 
PBANKA_0902300,,"conserved Plasmodium protein, unknown function",0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.497,0.620,not reduced,0.474,0.709,not reduced,0.765,0.744,not reduced,0.935,Dispensable,,, , 
PBANKA_1238800,,"karyopherin beta, putative",-0.307,3.044,no power,-0.462,3.240,no power,0.270,3.577,no power,0.190,3.757,no power,-0.071,3.682,no power,-0.228,3.858,no power,0.778,3.993,no power,0.792,Dispensable,,, , 
PBANKA_1417700,,"conserved Plasmodium protein, unknown function",0.243,0.711,no power,-0.571,0.761,no power,0.016,0.652,no power,-0.502,0.715,no power,1.778,0.744,not reduced,0.195,0.832,no power,0.813,0.887,not reduced,0.866,Dispensable,,, , 
PBANKA_1451800,,"conserved Plasmodium protein, unknown function",0.032,0.529,no power,-0.657,0.555,no power,-0.161,0.488,no power,-0.591,0.516,no power,0.831,0.607,not reduced,0.230,0.643,no power,0.852,0.722,not reduced,0.872,Dispensable,,, , 
PBANKA_1035200,CCp3,LCCL domain-containing protein,0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.860,0.756,not reduced,0.873,Dispensable,,, , 
PBANKA_1222700,,"conserved Plasmodium protein, unknown function",0.427,0.911,no power,-0.335,0.936,no power,0.484,0.846,no power,-0.084,0.875,no power,0.064,1.582,no power,-0.315,1.616,no power,0.911,1.658,no power,0.754,Slow,,, , 
PBANKA_1309600,,"conserved Plasmodium protein, unknown function",0.243,0.711,no power,-0.571,0.761,no power,0.016,0.652,no power,-0.502,0.715,no power,1.778,0.744,not reduced,0.195,0.832,no power,1.007,1.030,no power,0.827,Dispensable,,, , 
PBANKA_0308100,,"ubiquinol-cytochrome-c reductase complex assembly factor 1, putative",-0.231,0.993,no power,-0.626,1.010,no power,-0.565,0.986,no power,-0.768,1.002,no power,0.296,0.844,no power,-0.078,0.873,no power,1.273,0.906,not reduced,0.732,Slow,,, , 
PBANKA_1400700,,"Plasmodium exported protein, unknown function",-0.457,0.746,no power,-1.208,0.772,no power,-2.247,0.684,no power,-2.804,0.714,reduced,0.963,1.461,no power,0.606,1.495,no power,1.339,1.571,no power,0.830,Dispensable,,, , 
PBANKA_0942300,,"radial spoke head protein, putative",0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,1.358,0.957,not reduced,0.773,Dispensable,,, , 
PBANKA_1006200,SIAP1,sporozoite invasion-associated protein 1,-1.223,0.911,no power,-1.982,0.936,no power,-0.758,0.824,no power,-1.326,0.853,no power,0.952,1.428,no power,0.563,1.461,no power,1.371,1.507,no power,0.835,Dispensable,,, , 
PBANKA_0921700,ATG23,"autophagy-related protein 23, putative",-0.566,0.293,no power,-0.942,0.313,no power,0.151,0.317,not reduced,-0.224,0.346,not reduced,-0.084,0.925,no power,-0.955,1.021,no power,1.376,1.047,not reduced,0.583,Slow,,, , 
PBANKA_0706200,NT2,"nucleoside transporter 2, putative",-0.998,0.916,no power,-1.376,0.933,no power,-1.167,0.980,no power,-1.387,0.996,no power,0.296,0.844,no power,-0.078,0.873,no power,1.531,1.016,not reduced,0.690,Slow,,, , 
PBANKA_1222100,,"regulator of chromosome condensation, putative",0.032,0.529,no power,-0.657,0.555,no power,-0.023,0.487,not reduced,-0.446,0.514,no power,1.270,0.606,not reduced,0.666,0.642,not reduced,1.597,1.152,not reduced,0.842,Dispensable,,, , 
PBANKA_0602400,,"transporter, putative",-0.691,1.696,no power,-0.795,1.909,no power,0.432,1.625,no power,0.346,1.854,no power,0.920,2.536,no power,0.669,2.712,no power,1.713,2.734,no power,0.783,Dispensable,,, , 
PBANKA_1465500,,BIR protein,-0.686,0.711,no power,-1.489,0.761,no power,0.016,0.652,no power,-0.502,0.715,no power,1.778,0.744,not reduced,0.195,0.832,no power,1.733,1.151,not reduced,0.699,Dispensable,,, , 
PBANKA_1115500,NIF2,NLI interacting factor-like phosphatase,-0.902,0.900,no power,-1.192,0.929,no power,5.385,0.816,not reduced,1.976,0.947,not reduced,-4.461,1.057,reduced,-4.780,1.074,reduced,1.755,1.192,not reduced,0.224,Slow,,, , 
