GeneId	ProductDescription	TranscriptLength	ProteinLength	MolecularWeight
PBANKA_0520200.1	"ADP/ATP transporter on adenylate translocase, putative"	906	301	33805
PBANKA_1203600.1	"conserved Plasmodium protein, unknown function"	843	280	33814
PBANKA_0700521.1	fam-a protein	876	291	33815
PBANKA_1342300.1	"conserved Plasmodium protein, unknown function"	876	291	33816
PBANKA_1308200.1	"1-acyl-sn-glycerol-3-phosphate acyltransferase, putative"	882	293	33818
PBANKA_1208500.1	"conserved Plasmodium protein, unknown function"	861	286	33830
PBANKA_0112701.1	fam-a protein	876	291	33845
PBANKA_1246141.1	fam-a protein	876	291	33845
PBANKA_0600400.1	fam-a protein	888	295	33867
PBANKA_1019500.1	"60S ribosomal protein L5, putative"	882	293	33882
PBANKA_1204900.1	"conserved Plasmodium protein, unknown function"	864	287	33886
PBANKA_0000801.1	PIR protein	888	295	33908
PBANKA_0837181.1	PIR protein	888	295	33908
PBANKA_1344200.1	"conserved Plasmodium protein, unknown function"	867	288	33912
PBANKA_0704900.1	"conserved Plasmodium protein, unknown function"	870	289	33917
PBANKA_1346100.1	"conserved Plasmodium protein, unknown function"	867	288	33939
PBANKA_1204700.1	"conserved Plasmodium protein, unknown function"	861	286	33949
PBANKA_0216781.1	fam-a protein	888	295	33961
PBANKA_1466100.1	PIR protein	888	295	33963
PBANKA_1035000.1	"conserved Plasmodium protein, unknown function"	864	287	33968
PBANKA_0902700.1	"conserved Plasmodium protein, unknown function"	837	278	33971
PBANKA_1350300.1	"RanBPM and CLTH-like protein, putative"	855	284	33985
PBANKA_0109500.1	"transcription factor with AP2 domain(s), putative"	840	279	34030
PBANKA_1312400.1	"conserved Plasmodium protein, unknown function"	873	290	34034
PBANKA_1138600.1	"conserved Plasmodium protein, unknown function"	867	288	34040
PBANKA_0413700.1	"conserved Plasmodium protein, unknown function"	852	283	34043
PBANKA_1461300.1	"conserved Plasmodium protein, unknown function"	864	287	34065
PBANKA_1244300.1	"zinc finger protein, putative"	855	284	34075
PBANKA_1037300.1	"conserved Plasmodium protein, unknown function"	879	292	34084
PBANKA_1428400.1	"tetratricopeptide repeat protein, putative"	876	291	34100
PBANKA_1419700.1	"palmitoyltransferase DHHC8, putative"	891	296	34108
PBANKA_0921400.1	"protein phosphatase, putative"	867	288	34109
PBANKA_0927300.1	palmitoyltransferase DHHC3	873	290	34110
PBANKA_1021900.1	"DNA-directed RNA polymerase III subunit RPC6, putative"	864	287	34112
PBANKA_0617600.1	"small subunit rRNA processing protein, putative"	864	287	34134
PBANKA_0410700.1	"conserved Plasmodium protein, unknown function"	861	286	34136
PBANKA_0944081.1	PIR protein	882	293	34155
PBANKA_0932600.1	"conserved Plasmodium protein, unknown function"	903	300	34167
PBANKA_1422800.1	"conserved Plasmodium protein, unknown function"	870	289	34183
PBANKA_0944061.1	PIR protein	873	290	34199
PBANKA_0921100.1	"tRNA (guanine-N(7)-)-methyltransferase, putative"	858	285	34206
PBANKA_1425350.1	"GTPase, putative"	876	291	34220
PBANKA_0414400.1	"formate-nitrite transporter, putative"	936	311	34223
PBANKA_0711700.1	"BRIX domain, putative"	876	291	34223
PBANKA_0719600.1	memo-like protein	891	296	34239
PBANKA_1410700.1	"conserved Plasmodium protein, unknown function"	867	288	34257
PBANKA_1146241.1	"PIR protein, pseudogene"	882	293	34258
PBANKA_0904800.1	"conserved Plasmodium protein, unknown function"	888	295	34285
PBANKA_0215700.1	PIR protein	897	298	34296
PBANKA_1438900.1	"GTP cyclohydrolase I, putative"	882	293	34310
PBANKA_1117700.1	"malate dehydrogenase, putative"	942	313	34313
PBANKA_1240600.1	"inner membrane complex protein 1g, putative"	894	297	34316
PBANKA_1327021.1	fam-a protein	906	301	34333
PBANKA_1342600.1	"conserved Plasmodium protein, unknown function"	882	293	34335
PBANKA_1300100.1	PIR protein	900	299	34339
PBANKA_1450600.1	"vesicle transport v-SNARE protein VTI1, putative"	876	291	34376
PBANKA_1327251.1	fam-a protein	906	301	34377
PBANKA_1340100.1	L-lactate dehydrogenase	951	316	34423
PBANKA_0001501.1	PIR protein	891	296	34425
PBANKA_0316500.1	"fam-a protein, pseudogene"	900	299	34448
PBANKA_0317101.1	PIR protein	885	294	34461
PBANKA_1404300.1	"conserved Plasmodium protein, unknown function"	867	288	34488
PBANKA_1300021.1	PIR protein	891	296	34499
PBANKA_0506500.1	ZIP domain-containing protein	915	304	34503
PBANKA_1246300.1	PIR protein	885	294	34504
PBANKA_0104700.1	"long chain polyunsaturated fatty acid elongation enzyme, putative"	867	288	34507
PBANKA_0311900.1	"RING zinc finger protein, putative"	900	299	34507
PBANKA_1100700.1	fam-a protein	891	296	34523
PBANKA_1440200.1	"conserved Plasmodium protein, unknown function"	876	291	34533
PBANKA_0500971.1	PIR protein	873	290	34536
PBANKA_1108600.1	"SNAP protein, putative"	897	298	34540
PBANKA_1203500.1	"conserved Plasmodium protein, unknown function"	879	292	34614
PBANKA_1463200.1	"vacuolar protein sorting-associated protein 26, putative"	894	297	34616
PBANKA_0944101.1	PIR protein	897	298	34621
PBANKA_0112681.1	PIR protein	891	296	34628
PBANKA_1246121.1	PIR protein	891	296	34628
PBANKA_1427000.1	protein phosphatase PPM7	918	305	34662
PBANKA_1319600.1	"polyprenol reductase, putative"	879	292	34674
PBANKA_0007601.1	PIR protein	891	296	34678
PBANKA_0008001.1	PIR protein	891	296	34678
PBANKA_1200021.1	PIR protein	891	296	34678
PBANKA_1300081.1	"PIR protein, pseudogene"	909	302	34692
PBANKA_0932100.1	palmitoyltransferase DHHC9	879	292	34719
PBANKA_0200670.1	"PIR protein, pseudogene"	894	297	34724
PBANKA_1459000.1	"conserved Plasmodium protein, unknown function"	897	298	34725
PBANKA_1323600.1	"biotin protein ligase, putative"	900	299	34747
PBANKA_0501051.1	fam-a protein	894	297	34778
PBANKA_0524821.1	fam-a protein	894	297	34778
PBANKA_1000200.1	fam-a protein	894	297	34778
PBANKA_0524100.1	"conserved Plasmodium protein, unknown function"	879	292	34793
PBANKA_1465800.1	PIR protein	909	302	34803
PBANKA_1025600.1	"conserved Plasmodium protein, unknown function"	885	294	34822
PBANKA_0100081.1	"PIR protein, pseudogene"	876	291	34826
PBANKA_1146721.1	PIR protein	912	303	34833
PBANKA_1465200.1	PIR protein	897	298	34833
PBANKA_0800200.1	"fam-a protein, pseudogene"	900	299	34836
PBANKA_0918000.1	"60S acidic ribosomal protein P0, putative"	948	315	34860
PBANKA_0500200.1	PIR protein	909	302	34878
PBANKA_1000031.1	PIR protein	909	302	34878
PBANKA_0700071.1	PIR protein	915	304	34887
PBANKA_1019200.1	"conserved Plasmodium protein, unknown function"	891	296	34887
PBANKA_1415300.1	"protein transport protein SEC20, putative"	879	292	34901
PBANKA_0316941.1	PIR protein	909	302	34905
PBANKA_0817500.1	"ubiquitin fusion degradation protein 1, putative"	888	295	34915
PBANKA_1335000.1	"conserved Plasmodium protein, unknown function"	879	292	34933
PBANKA_0623600.1	PIR protein	912	303	34945
PBANKA_1028300.1	serine/threonine protein phosphatase PP1	915	304	34963
PBANKA_0715500.1	phosphoglucomutase-2	897	298	34967
PBANKA_0718600.1	"prohibitin-like protein, putative"	876	291	34969
PBANKA_0216081.1	"PIR protein, pseudogene"	879	292	34978
PBANKA_1000451.1	"PIR protein, pseudogene"	879	292	34978
PBANKA_0829900.1	"conserved Plasmodium protein, unknown function"	870	289	34981
PBANKA_1400300.1	PIR protein	912	303	34983
PBANKA_1350900.1	protein kinase 6	906	301	35001
PBANKA_0700100.1	PIR protein	915	304	35004
PBANKA_1460400.1	"peptidyl-prolyl cis-trans isomerase FKBP35, putative"	921	306	35023
PBANKA_1438700.1	"citrate/oxoglutarate carrier protein, putative"	933	310	35102
PBANKA_0911600.1	"mitochondrial ribosomal protein S9 precursor, putative"	897	298	35119
PBANKA_0311500.1	"conserved Plasmodium protein, unknown function"	900	299	35128
PBANKA_1323900.1	"conserved Plasmodium protein, unknown function"	882	293	35136
PBANKA_0837121.1	PIR protein	927	308	35139
PBANKA_1144000.1	"26S proteasome regulatory subunit RPN11, putative"	936	311	35152
PBANKA_0912700.1	"3-oxo-5-alpha-steroid 4-dehydrogenase, putative"	891	296	35158
PBANKA_0623400.1	fam-a protein	936	311	35166
PBANKA_1016100.1	"peptide chain release factor 1, putative"	891	296	35218
PBANKA_0920800.1	"CRAL/TRIO domain-containing protein, putative"	900	299	35239
PBANKA_0808800.1	"conserved Plasmodium protein, unknown function"	909	302	35250
PBANKA_1032500.1	"ER membrane protein complex subunit 2, putative"	891	296	35256
PBANKA_1146400.1	"PIR protein, pseudogene"	921	306	35266
PBANKA_0800100.1	PIR protein	927	308	35267
PBANKA_0929000.1	"tRNA m(1)G methyltransferase, putative"	879	292	35287
PBANKA_0614700.1	"conserved Plasmodium membrane protein, unknown function"	900	299	35312
PBANKA_0001201.1	PIR protein	921	306	35319
PBANKA_0700051.1	PIR protein	921	306	35319
PBANKA_1246800.1	PIR protein	930	309	35323
PBANKA_0604700.1	"shewanella-like protein phosphatase 2, putative"	909	302	35357
PBANKA_1409400.1	"mitochondrial ribosomal protein S15 precursor, putative"	903	300	35383
PBANKA_0000701.1	PIR protein	927	308	35402
PBANKA_0837161.1	PIR protein	927	308	35402
PBANKA_1466161.1	PIR protein	930	309	35442
PBANKA_1037400.1	"conserved Plasmodium protein, unknown function"	927	308	35446
PBANKA_1300200.1	PIR protein	927	308	35455
PBANKA_1355100.1	"40S ribosomal protein S6, putative"	933	310	35469
PBANKA_1447100.1	"conserved protein, unknown function"	894	297	35478
PBANKA_1008000.1	"conserved Plasmodium protein, unknown function"	939	312	35479
PBANKA_0317001.1	PIR protein	909	302	35496
PBANKA_1127200.1	"conserved Plasmodium protein, unknown function"	909	302	35499
PBANKA_1330700.1	"50S ribosomal protein L22, apicoplast, putative"	900	299	35499
PBANKA_0936300.1	"syntaxin, putative"	906	301	35502
PBANKA_0938500.1	"succinyl-CoA synthetase alpha subunit, putative"	990	329	35528
PBANKA_1200081.1	PIR protein	933	310	35573
PBANKA_1209200.1	"50S ribosomal protein L22, mitochondrial, putative"	867	288	35573
PBANKA_0703900.1	"receptor for activated c kinase, putative"	969	322	35583
PBANKA_1029700.1	"ubiquitin-conjugating enzyme, putative"	921	306	35586
PBANKA_0809700.1	"conserved protein, unknown function"	903	300	35590
PBANKA_0311300.1	"conserved Plasmodium protein, unknown function"	906	301	35594
PBANKA_0308100.1	"ubiquinol-cytochrome-c reductase complex assembly factor 1, putative"	882	293	35599
PBANKA_0410300.1	"26S proteasome regulatory subunit RPN12, putative"	912	303	35619
PBANKA_0706700.1	"dicarboxylate/tricarboxylate carrier, putative"	960	319	35631
PBANKA_1243100.1	F-actin-capping protein subunit alpha	924	307	35647
PBANKA_1302500.1	"conserved protein, unknown function"	897	298	35656
PBANKA_1233800.1	"histone RNA hairpin-binding protein, putative"	900	299	35662
PBANKA_0620400.1	"conserved Plasmodium protein, unknown function"	933	310	35664
PBANKA_0700800.1	"Plasmodium exported protein (PHIST), unknown function"	891	296	35664
PBANKA_1004700.1	"methyltransferase, putative"	915	304	35666
PBANKA_1465500.1	PIR protein	930	309	35708
PBANKA_0828500.1	serine/threonine protein phosphatase 4	927	308	35710
PBANKA_1040541.1	PIR protein	930	309	35713
PBANKA_1100781.1	PIR protein	927	308	35725
PBANKA_1335300.1	"protein transport protein YIP1, putative"	945	314	35732
PBANKA_0904400.1	"transcription initiation factor IIF subunit beta, putative"	924	307	35736
PBANKA_1127600.1	"N-acetyltransferase, putative"	885	294	35740
PBANKA_0308800.1	"GDP-fructose:GMP antiporter, putative"	924	307	35746
PBANKA_1128700.1	"phosphatidylinositol/phosphatidylcholine transfer protein, putative"	921	306	35747
PBANKA_0603400.1	"conserved Plasmodium protein, unknown function"	897	298	35758
PBANKA_0412100.1	serine/threonine protein phosphatase 6	927	308	35771
PBANKA_0809900.1	"tRNA pseudouridine synthase, putative"	915	304	35773
PBANKA_1246700.1	PIR protein	933	310	35803
PBANKA_1409800.1	"ATP synthase subunit gamma, mitochondrial, putative"	951	316	35816
PBANKA_0832200.1	"conserved Plasmodium protein, unknown function"	903	300	35818
PBANKA_1000600.1	erythrocyte membrane antigen 1	960	319	35833
PBANKA_0907500.1	"conserved Plasmodium protein, unknown function"	900	299	35870
PBANKA_1033700.1	"conserved Plasmodium protein, unknown function"	924	307	35901
PBANKA_0404900.1	"conserved Plasmodium protein, unknown function"	903	300	35910
PBANKA_1232400.1	F-actin-capping protein subunit beta	921	306	35926
PBANKA_0413800.1	"microneme associated antigen, putative"	921	306	35932
PBANKA_0305300.1	"KRR1 small subunit processome component, putative"	897	298	35936
PBANKA_1365600.1	fam-a protein	927	308	35949
PBANKA_0316861.1	PIR protein	942	313	35952
PBANKA_0902600.1	leucine-rich repeat protein	915	304	35968
PBANKA_0600200.1	PIR protein	933	310	35977
PBANKA_0836850.1	"PIR protein, pseudogene"	933	310	36001
PBANKA_1200500.1	"PIR protein, pseudogene"	936	311	36002
PBANKA_0300300.1	PIR protein	939	312	36006
PBANKA_1235200.1	"conserved Plasmodium protein, unknown function"	930	309	36029
PBANKA_0819300.1	"eukaryotic translation initiation factor 3 subunit F, putative"	942	313	36056
PBANKA_1336400.1	"DnaJ protein, putative"	909	302	36057
PBANKA_0001301.1	PIR protein	957	318	36067
PBANKA_0837001.1	PIR protein	939	312	36076
PBANKA_1100300.1	"PIR protein, pseudogene"	957	318	36109
PBANKA_1329400.1	"conserved Plasmodium protein, unknown function"	939	312	36127
PBANKA_0622000.1	"conserved Plasmodium protein, unknown function"	900	299	36138
PBANKA_1028500.1	"conserved Plasmodium protein, unknown function"	927	308	36139
PBANKA_0001101.1	PIR protein	948	315	36145
PBANKA_0100700.1	"Plasmodium exported protein, unknown function"	966	321	36155
PBANKA_1344600.1	"conserved Plasmodium protein, unknown function"	942	313	36166
PBANKA_1349000.1	MSP7-like protein	1026	341	36178
PBANKA_1216000.1	"iron-sulfur assembly protein, putative"	912	303	36193
PBANKA_0700061.1	PIR protein	945	314	36202
PBANKA_1014700.1	"conserved Plasmodium protein, unknown function"	912	303	36211
PBANKA_1246400.1	PIR protein	957	318	36221
PBANKA_0413900.1	"mitochondrial ribosomal protein L27 precursor, putative"	921	306	36222
PBANKA_1400500.1	"PIR protein, pseudogene"	930	309	36231
PBANKA_0929100.1	"acyl-CoA-binding protein, putative"	951	316	36249
PBANKA_0929700.1	"haloacid dehalogenase-like hydrolase, putative"	921	306	36249
PBANKA_1232100.1	"serine/arginine-rich splicing factor 1, putative"	948	315	36272
PBANKA_1032400.1	"alpha/beta hydrolase, putative"	936	311	36280
PBANKA_0700041.1	PIR protein	963	320	36297
PBANKA_0704200.1	"dehydrodolichyl diphosphate synthetase, putative"	921	306	36335
PBANKA_1466000.1	PIR protein	942	313	36363
PBANKA_1451900.1	"conserved Plasmodium protein, unknown function"	933	310	36364
PBANKA_0819200.1	"50S ribosomal protein L3, apicoplast, putative"	948	315	36426
PBANKA_0700081.1	PIR protein	960	319	36448
PBANKA_0608500.1	"SNARE protein, putative"	930	309	36458
PBANKA_0928800.1	"splicing factor U2AF small subunit, putative"	915	304	36469
PBANKA_1100351.1	PIR protein	945	314	36475
PBANKA_0601100.1	"mitochondrial phosphate carrier protein, putative"	972	323	36478
PBANKA_0616700.1	NIMA related kinase 4	933	310	36488
PBANKA_0823200.1	"conserved Plasmodium protein, unknown function"	927	308	36502
PBANKA_0006300.1	PIR protein	957	318	36512
PBANKA_0405800.1	"conserved protein, unknown function"	945	314	36576
PBANKA_0307600.1	"syntaxin, putative"	945	314	36579
PBANKA_1326400.1	glyceraldehyde-3-phosphate dehydrogenase	1014	337	36581
PBANKA_0300400.1	"PIR protein, pseudogene"	960	319	36587
PBANKA_0919300.1	"spermidine synthase, putative"	966	321	36588
PBANKA_1465051.1	"Plasmodium exported protein, unknown function"	933	310	36623
PBANKA_0836921.1	PIR protein	954	317	36632
PBANKA_0400600.1	PIR protein	939	312	36642
PBANKA_1405700.1	"DnaJ protein, putative"	918	305	36658
PBANKA_1231200.1	"phosducin-like protein, putative"	936	311	36660
PBANKA_0826000.1	"ribosomal RNA-processing protein 8, putative"	942	313	36674
PBANKA_0900600.1	PIR protein	960	319	36680
PBANKA_1400086.1	PIR protein	960	319	36680
PBANKA_1241100.1	"nucleolar Jumonji domain interacting protein, putative"	969	322	36725
PBANKA_0516600.1	leucine-rich repeat protein	933	310	36735
PBANKA_0600251.1	"PIR protein, pseudogene"	945	314	36744
PBANKA_0510200.1	"conserved Plasmodium protein, unknown function"	933	310	36775
PBANKA_1421300.1	"4-nitrophenylphosphatase, putative"	969	322	36775
PBANKA_0722200.1	"PIR protein, pseudogene"	939	312	36779
PBANKA_0816200.1	"ribonuclease H2 subunit C, putative"	942	313	36779
PBANKA_1144300.1	"conserved Plasmodium protein, unknown function"	939	312	36779
PBANKA_0200400.1	"Plasmodium exported protein, unknown function"	981	326	36780
PBANKA_0722900.1	"PIR protein, pseudogene"	954	317	36796
PBANKA_0707800.1	"conserved Plasmodium protein, unknown function"	969	322	36809
PBANKA_0700541.1	PIR protein	954	317	36832
PBANKA_0813900.1	"26S proteasome regulatory subunit RPN8, putative"	960	319	36839
PBANKA_1004600.1	"conserved Plasmodium protein, unknown function"	933	310	36868
PBANKA_1465300.1	"PIR protein, pseudogene"	960	319	36873
PBANKA_1337300.1	"conserved Plasmodium protein, unknown function"	990	329	36881
PBANKA_0812100.1	"phosphatidylinositol N-acetylglucosaminyltransferase, putative"	948	315	36895
PBANKA_0300200.1	PIR protein	954	317	36913
PBANKA_0721400.1	"conserved Plasmodium protein, unknown function"	939	312	36923
PBANKA_1365700.1	PIR protein	969	322	36933
PBANKA_1356500.1	"conserved Plasmodium protein, unknown function"	939	312	36952
PBANKA_1340400.1	"lactate dehydrogenase, putative"	1005	334	36957
