GeneID,Old GeneID,Description,3D7 Gam Specific Transcription,3D7 Gam Specific Stabilization,Gametocyte transcription,Gametocyte stabilzation,mRNA Control,"Stage I-II transcript (Silvestrini et al., 2005)","Gametocyte transcript (Young et al., 2005)","Stage I-II transcript (Eksi et al., 2005)","Stage I-II transcript (Eksi et al., 2012)","Transcript downregulated in DOZI/CITH KO (Mair et al., 2010)","Stage II transcript enriched 2-fold (Lopez-Barragan et al., 2011)","Stage V tranascript enriched 2-fold (Lopez-Barragan et al., 2011)","Ookinete transcript enriched 20-fold (Lopez-Barragan et al., 2011)","Gameotcyte-Ookinete transcript present (Lopez-Barragan et al., 2011)","Stage I-II transcript in HP1off (Brancucci et al., 2014)","Stage I-II peptide (Silvestrini et al., 2010)","Stage V peptide (Silvestrini et al., 2010)","Male-Female Gametocyte Peptide (Tao et al., 2014)","Male-Female Stage V Gametocyte Peptide (Tao et al., 2014)",Times previously identified,Identified in this study,Previously identified as enriched,NEW,,
PF3D7_1449000,PF14_0467,"conserved Plasmodium protein, unknown function",0.380621,0.8985105,,,,,,,,,√,,√,√,,,√,,,4,NO,YES,,,
PF3D7_1421800,PF14_0210,"conserved Plasmodium protein, unknown function",0.014645,0.891697,,,,,√,,,,√,,√,√,,,,,,4,NO,YES,,,
PF3D7_0404000,PFD0195c,"conserved Plasmodium protein, unknown function",1.38332,0.8505855,√,,transcribed,,,,,,√,√,√,√,,,,,,4,YES,YES,,,
PF3D7_0508000,PFE0395c,6-cysteine protein (P38),-1.945971,0.8117945,,,,,,,,,,√,,√,,√,√,,,4,NO,YES,,,
PF3D7_1410400,PF14_0102,rhoptry-associated protein 1 (RAP1),-2.9279905,0.805324,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_0806200,MAL8P1.135,"conserved Plasmodium membrane protein, unknown function",-1.23366,0.803506,,,,,,,,,,,,√,,,√,√,√,4,NO,YES,,,
PF3D7_1341800,PF13_0226,"conserved Plasmodium protein, unknown function",-0.489997,0.7967725,,,,,√,,,√,,,√,√,,,,,,4,NO,YES,,,
PF3D7_0522100,PFE1105c,"conserved Plasmodium protein, unknown function",-1.120604,0.773102,,,,,,,,,,√,,√,,√,√,,,4,NO,YES,,,
PF3D7_0617300,PFF0840w,"conserved Plasmodium protein, unknown function",-2.5792595,0.772619,,,,,,,,,√,√,,√,,,√,,,4,NO,YES,,,
PF3D7_1107900,PF11_0092,mechanosensitive ion channel protein,0.137879,0.7704825,,,,,√,,,,,,√,√,,,√,,,4,NO,YES,,,
PF3D7_1215400,PFL0745c,"conserved Plasmodium protein, unknown function",-1.5440925,0.768454,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_1449100,PF14_0468,"conserved Plasmodium protein, unknown function",-1.9690125,0.733901,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_1206100,PFL0305c,"IMP-specific 5'-nucleotidase, putative,haloacid dehalogenase hydrolase, putative",-0.3987905,0.714991,,,,,√,,,,,,√,√,,,√,,,4,NO,YES,,,
PF3D7_0406700,PFD0330w,"conserved Plasmodium protein, unknown function",-0.6352315,0.7088955,,,,,,,,,,√,√,√,,,√,,,4,NO,YES,,,
PF3D7_1022700,PF10_0220,"phospholipid scramblase 1, putative",-1.1112765,0.678984,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_0903700,PFI0180w,alpha tubulin 1,-2.8920895,0.6580485,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_1238000,PFL1840w,"conserved Plasmodium membrane protein, unknown function",0.163471,0.6527985,,,,,,,,,√,,√,√,,,√,,,4,NO,YES,,,
PF3D7_0630400,PFF1475c,"conserved Plasmodium protein, unknown function",-2.4746115,0.645885,,,,,,,,,√,√,,√,,,√,,,4,NO,YES,,,
PF3D7_1132800,PF11_0338,aquaglyceroporin (AQP),-0.637152,0.6379105,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_0605700,PFF0280w,"conserved Plasmodium protein, unknown function",-0.123525,0.6058365,,,,,,,,,√,√,√,√,,,,,,4,NO,YES,,,
PF3D7_1111600,PF11_0122,"endonuclease/exonuclease/phosphatase family protein, putative",-0.115862,0.597468,,,,,√,,,,,,√,√,,,√,,,4,NO,YES,,,
PF3D7_0211400,PFB0505c,beta-ketoacyl-ACP synthase III (KASIII),0.6079145,0.594618,,,,,√,,,,√,√,,√,,,,,,4,NO,YES,,,
PF3D7_1471500,PF14_0682,"conserved Plasmodium membrane protein, unknown function",0.4714515,0.585515,√,,transcribed,,√,,,,√,,√,√,,,,,,4,YES,YES,,,
PF3D7_0105700,PFA0280w,asparagine-rich antigen Pfa35-2,-1.2281405,0.571267,,,,,,,,,,√,√,√,,√,,,,4,NO,YES,,,
PF3D7_0504600,PFE0225w,"3-methyl-2-oxobutanoate dehydrogenase (lipoamide), putative",-1.647219,0.5678955,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_1108500,PF11_0097,"succinyl-CoA synthetase alpha subunit, putative",-1.579253,0.547451,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_1235600,PFL1720w,serine hydroxymethyltransferase (SHMT),-2.3632435,0.541799,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_1312600,PF13_0070,"branched-chain alpha keto-acid dehydrogenase, putative",-1.7491055,0.53831,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_0909100,PFI0440w,"conserved Plasmodium membrane protein, unknown function",-0.178277,0.528914,,,,,√,,,,√,√,,√,,,,,,4,NO,YES,,,
PF3D7_1349100,MAL13P1.248,"nucleoside diphosphate hydrolase, putative",-1.5838295,0.5233635,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1475400,PF14_0722,cysteine repeat modular protein 4 (CRMP4),1.220878,0.523036,√,,transcribed,,,,,,,,√,√,,,,√,√,4,YES,YES,,,
PF3D7_1215000,PFL0725w,thioredoxin peroxidase 2 (Trx-Px2),0.2959675,0.512879,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1110700,PF11_0114,"actin-like protein homolog, ALP1 homolog",-1.743376,0.50883,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_1146300,PF11_0474,"conserved Plasmodium protein, unknown function",0.4406585,0.5070995,√,,transcribed,,,,,,√,,√,√,,,√,,,4,YES,YES,,,
PF3D7_0932200,PFI1565w,"profilin, putative (PFN)",-0.2160655,0.4842665,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_1409300,PF14_0090,"DNA-damage inducible protein, putative",0.91966,0.480319,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_0811000,PF08_0094,"cullin-like protein, putative",-0.377352,0.4588965,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1232200,PFL1550w,lipoamide dehydrogenase (mLipDH),-1.2203235,0.41389,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_1460600,PF14_0578,"conserved Plasmodium protein, unknown function",-0.1433875,0.4133885,,,,√,,,,,,,,√,,√,√,,,4,NO,YES,,,
PF3D7_0314000,PFC0581w,co-chaperone p23 (P23),-1.038071,0.4105075,,,,,,,,,,√,,√,,√,√,,,4,NO,YES,,,
PF3D7_0813800,PF08_0077,"GDP-mannose 4,6-dehydratase, putative",-0.1350695,0.40493,,,,,√,,,,√,√,,√,,,,,,4,NO,YES,,,
PF3D7_0518900,PFE0950c,"conserved Plasmodium protein, unknown function",0.6118265,0.400415,,,,,,,,,√,√,√,√,,,,,,4,NO,YES,,,
PF3D7_1361400,PF13_0326,actin-depolymerizing factor 2 (ADF2),1.457585,0.3988545,√,,transcribed,,,,,,,,,√,,,√,√,√,4,YES,YES,,,
PF3D7_0722900,MAL7P1.123,"conserved Plasmodium protein, unknown function",-0.9758655,0.392113,,,,,,,,,√,√,√,√,,,,,,4,NO,YES,,,
PF3D7_0923800.1,PFI1170c,thioredoxin reductase (TRXR),-0.3008015,0.373336,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_1222500,PFL1080c,"ATP-binding protein, putative",-0.862131,0.3713575,,,,,,,,,,,,√,,,√,√,√,4,NO,YES,,,
PF3D7_1360000,PF13_0317,"conserved Plasmodium protein, unknown function",-1.063764,0.3629955,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_0605900,PFF0290w,"long chain polyunsaturated fatty acid elongation enzyme, putative",-0.254609,0.361996,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_0410500,PFD0520c,"conserved Plasmodium protein, unknown function",0.517897,0.361564,,,,,,,,,√,√,√,√,,,,,,4,NO,YES,,,
PF3D7_0417100,PFD0825c,RNA binding protein Puf2 (PUF2),1.3264845,0.35713,√,,transcribed,,,,,,√,√,√,√,,,,,,4,YES,YES,,,
PF3D7_0606300,PFF0310w,"conserved Plasmodium protein, unknown function",-0.509383,0.348562,,,,,,,,,√,√,,√,,,√,,,4,NO,YES,,,
PF3D7_1251300,PFL2465c,thymidylate kinase (TMK),-1.4260095,0.344879,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1112200,PF11_0128,"coq4 homolog, putative",-0.3453845,0.344336,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1431600,PF14_0295,"ATP-specific succinyl-CoA synthetase beta subunit, putative",-0.496863,0.338385,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_0312400,PFC0525c,glycogen synthase kinase 3 (GSK3),0.3071455,0.32715,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_1346000,MAL13P1.230,"conserved Plasmodium protein, unknown function",0.311707,0.3231245,,,,,,,,,,,,√,,,√,√,√,4,NO,YES,,,
PF3D7_1103800,PF11_0049,"CCR4-NOT transcription complex subunit 1, putative (NOT1)",-1.3242765,0.321048,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_0306500,PFC0280c,"conserved Plasmodium protein, unknown function",-1.0851175,0.313494,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_0525400,PFE1265w,"G-protein coupled receptor, putative",-0.8977935,0.311409,,,,,,,,,√,√,,√,,,√,,,4,NO,YES,,,
PF3D7_1328800,PF13_0152,transcriptional regulatory protein sir2a (SIR2A),-0.04507,0.3043095,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1340700,MAL13P1.205,Rab GTPase 11b (RAB11b),-1.600025,0.297503,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_0306000,PFC0262c,"conserved Plasmodium protein, unknown function",-1.522943,0.2972715,,,,,,,,,√,√,,√,,,√,,,4,NO,YES,,,
PF3D7_0505200,PFE0255w,"actin-like protein, putative",-1.891422,0.291035,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_0406900,PFD0340c,"conserved Plasmodium protein, unknown function",1.6378615,0.2807375,√,,transcribed,,√,,,,,√,√,√,,,,,,4,YES,YES,,,
PF3D7_1438700,PF14_0366,small subunit DNA primase,-0.049047,0.276867,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_0216400,PFB0750w,"vacuolar protein-sorting protein VPS45, putative",-0.1104825,0.2558855,,,,,,,,,,√,,√,,√,√,,,4,NO,YES,,,
PF3D7_1331600,MAL13P1.168,"protein tyrosine phosphatase, putative",-0.8345005,0.253873,,,,,,,,,√,,√,√,,,√,,,4,NO,YES,,,
PF3D7_1433500,PF14_0316,"DNA topoisomerase II, putative",-0.7095035,0.251196,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1214700,PFL0710w,"conserved Plasmodium protein, unknown function",-0.072914,0.2462595,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1017000,PF10_0165,DNA polymerase delta catalytic subunit,-0.06454,0.2399295,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_0927800,PFI1365w,"cytochrome c oxidase subunit, putative",-0.7017275,0.2160615,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1310300,PF13_0055,"conserved Plasmodium protein, unknown function",-1.049745,0.212304,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_0909600,PFI0465c,"conserved Plasmodium protein, unknown function",0.3711655,0.209941,,,,,,,,,,√,,√,,√,√,,,4,NO,YES,,,
PF3D7_0308500,PFC0360w,"activator of Hsp90 ATPase, putative",0.0950035,0.202822,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1245100,PFL2165w,"kinesin-like protein, putative",-1.327503,0.2008385,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_0219600,PFB0895c,"replication factor C subunit 1, putative",-1.247104,0.1699535,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_0914900,PFI0730w,"BSD domain, putative",-1.213693,0.1684575,,,,,,,,,,√,,√,,√,√,,,4,NO,YES,,,
PF3D7_0515200,PFE0760w,"conserved Plasmodium protein, unknown function",-1.117754,0.161507,,,,,,,,,√,√,,√,,,√,,,4,NO,YES,,,
PF3D7_0814700,PF08_0072,"conserved Plasmodium protein, unknown function",0.2478455,0.158845,,,,,,,,,√,√,√,√,,,,,,4,NO,YES,,,
PF3D7_0934300,PFI1660w,"conserved Plasmodium protein, unknown function",-0.97885,0.158572,,,,,,,,,√,√,,√,,,√,,,4,NO,YES,,,
PF3D7_1366600,PF13_0350,signal recognition particle receptor alpha subunit (SRPR-alpha),-0.3416195,0.1471535,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_0319800,PFC0880c,"conserved Plasmodium protein, unknown function",-0.455988,0.1453385,,,,,,,,,√,√,,√,,,√,,,4,NO,YES,,,
PF3D7_1463500,PF14_0604,"conserved Plasmodium protein, unknown function",-0.7651045,0.1445805,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1343700,PF13_0238,"kelch protein, putative",-0.60668,0.1371885,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_0418900,PFD0915w,"conserved Plasmodium protein, unknown function",0.4940955,0.136928,,,,,,,,,√,√,√,√,,,,,,4,NO,YES,,,
PF3D7_0606200,PFF0305c,"ubiquitin conjugating enzyme E2, putative",-1.8449145,0.1338065,,,,,,,,,√,√,,√,,,√,,,4,NO,YES,,,
PF3D7_1457500,PF14_0548,"ATPase Vps4, putative (VPS4)",-1.853852,0.128533,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1230400,PFL1465c,ATP-dependent protease subunit ClpQ (ClpQ),-0.659884,0.121803,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_1227700,PFL1340c,"conserved Plasmodium protein, unknown function",-0.7752925,0.1101795,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_0708700,PF07_0032,Cg8 protein,-0.7386235,0.109093,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_0518500,PFE0925c,"ATP-dependent RNA helicase DDX23, putative (DDX23)",-0.391259,0.1024815,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1025100,PF10_0245,"glucosamine-fructose-6-phosphate aminotransferase, putative",-0.4704135,0.098775,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_0709700,PF07_0040,"lysophospholipase, putative",-1.5339035,0.080149,,,,,,,,,,√,,√,,√,√,,,4,NO,YES,,,
PF3D7_1358000,MAL13P1.285,"patatin-like phospholipase, putative",-0.1169885,0.069716,,,,,,,,,,,,√,,,√,√,√,4,NO,YES,,,
PF3D7_0218000,PFB0840w,"replication factor C, subunit 2, putative",0.378417,0.0663665,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_1402200,PF14_0024,"conserved Plasmodium protein, unknown function",1.046061,0.0651025,√,,transcribed,,,,,,√,,√,√,,,√,,,4,YES,YES,,,
PF3D7_0523300,PFE1165c,"conserved Plasmodium protein, unknown function",0.9406555,0.064781,,,,,,,,,√,√,,√,,,√,,,4,NO,YES,,,
PF3D7_0806800,PF08_0113,"vacuolar proton translocating ATPase subunit A, putative",-0.5185845,0.054873,,,,√,,,,,,,,√,,√,√,,,4,NO,YES,,,
PF3D7_0417200,PFD0830w,bifunctional dihydrofolate reductase-thymidylate synthase (DHFR-TS),-1.569254,0.0469815,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_0908000,PFI0385c,"P1 nuclease, putative",-2.327982,0.041541,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1401800,PF14_0020,choline kinase (CK),-0.242019,0.0339185,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1110500,PF11_0112,"vacuolar sorting protein 35, putative",-1.364559,0.0329855,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1034400,PF10_0334,flavoprotein subunit of succinate dehydrogenase (SDHA),-0.3272595,0.026941,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1344100,MAL13P1.395,krox-like protein. putative,-0.1305135,0.0252965,,,,,,,,,,,,√,,,√,√,√,4,NO,YES,,,
PF3D7_0608400,PFF0415c,"conserved Plasmodium protein, unknown function",-1.3850585,-0.0080545,,,,,,,,,√,√,√,√,,,,,,4,NO,YES,,,
PF3D7_1021600,PF10_0210,"deoxyribose-phosphate aldolase, putative",-0.8826645,-0.0147355,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1244100,PFL2120w,"conserved Plasmodium protein, unknown function",-0.2257605,-0.0276635,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1111900,PF11_0125,"conserved Plasmodium protein, unknown function",0.555991,-0.035797,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1324800,PF13_0140,dihydrofolate synthase/folylpolyglutamate synthase (DHFS-FPGS),1.0145075,-0.0382595,√,,transcribed,,,,,,,,√,√,,,√,√,,4,YES,YES,,,
PF3D7_1330600,MAL13P1.164,"elongation factor Tu, putative",0.0840435,-0.0616265,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1240000,PFL1940w,"3-hydroxyisobutyryl-coenzyme A hydrolase, putative",-0.5226915,-0.0649835,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_0516400,PFE0820c,"conserved Plasmodium protein, unknown function",-0.7164845,-0.0703795,,,,,,,,,,√,√,√,,,√,,,4,NO,YES,,,
PF3D7_1446600,PF14_0443,centrin-2 (CEN2),0.736768,-0.0709465,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_0110700,PFA0520c,"chromatin assembly factor 1 protein WD40 domain, putative",1.1410035,-0.079294,√,,transcribed,,,,,,√,,,√,,√,√,,,4,YES,YES,,,
PF3D7_1210100,PFL0505c,"syntaxin, Qa-SNARE family (SYN2)",-1.5934185,-0.079926,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1434700,PF14_0328,"mitochondrial import inner membrane translocase subunit tim17, putative",-0.7818445,-0.086161,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1469700,PF14_0665,"conserved Plasmodium protein, unknown function",0.780977,-0.087872,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_0410900,PFD0540c,"conserved Plasmodium protein, unknown function",-0.5814725,-0.0914045,,,,,,,,,,√,√,√,,,√,,,4,NO,YES,,,
PF3D7_1346600,PF13_0246,"conserved Plasmodium protein, unknown function",0.7562185,-0.0963425,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_0606600,PFF0325c,"conserved Plasmodium protein, unknown function",-0.4827125,-0.102981,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1423600,PF14_0227,"serine/threonine protein kinase, putative",-0.4210675,-0.110493,,,,,,,,√,√,,√,√,,,,,,4,NO,YES,,,
PF3D7_1363400,PF13_0335,"conserved Plasmodium protein, unknown function",-0.1709565,-0.1161665,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_0603100,PFF0150c,"conserved Plasmodium protein, unknown function",-0.39011,-0.1216325,,,,,,,,,,√,,√,,√,√,,,4,NO,YES,,,
PF3D7_1003300,PF10_0036,"N-acetyltransferase, putative",0.7490935,-0.1359165,,,,,,,,,,√,,√,,√,√,,,4,NO,YES,,,
PF3D7_0622500,PFF1085c,"RNA methyltransferase, putative",-0.0254835,-0.138748,,,,,,,,,,√,,√,,√,√,,,4,NO,YES,,,
PF3D7_0916100,PFI0790w,thioredoxin 3 (TRX3),-1.8010815,-0.1444505,,,,,,,,,√,√,,√,,,√,,,4,NO,YES,,,
PF3D7_0517400,PFE0870w,"FACT complex subunit SPT16, putative (FACT-L)",-0.567351,-0.149138,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_0507600,PFE0375w,"cell differentiation protein, putative (CAF40)",-1.696522,-0.1493545,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1347700,PF13_0253,"ethanolamine-phosphate cytidylyltransferase, putative (ECT)",-0.803967,-0.156168,,,,√,,,,,,,,√,,√,√,,,4,NO,YES,,,
PF3D7_0723300,MAL7P1.125,"conserved Plasmodium protein, unknown function",-0.7226545,-0.1749815,,,,,,,,,,,√,√,,,,√,√,4,NO,YES,,,
PF3D7_0926900,PFI1320c,"conserved Plasmodium protein, unknown function",0.818505,-0.175999,,,,,,,,,√,√,√,√,,,,,,4,NO,YES,,,
PF3D7_0826500,PF08_0020,"ubiquitination-mediated degradation component, putative",-1.1931775,-0.1894075,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_0530000,PFE1500c,"conserved Plasmodium protein, unknown function",-1.504604,-0.1915235,,,,,,,,,√,√,√,√,,,,,,4,NO,YES,,,
PF3D7_1320900,PF13_0122,"RNA-binding protein, putative",-1.4404065,-0.194778,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1450100,PF14_0477,signal recognition particle SRP54 (SRP54),-0.707847,-0.198008,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1137400,PF11_0385,UVB-resistance protein UVR8 homologue,1.2230525,-0.2017235,√,,transcribed,,,,,,,,√,√,,√,√,,,4,YES,YES,,,
PF3D7_1311300,PF13_0061,"ATP synthase subunit gamma, mitochondrial",-0.488149,-0.2047545,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1303000,MAL13P1.15,"conserved Plasmodium protein, unknown function",-0.3474285,-0.2054965,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1320600,PF13_0119,Rab GTPase 11a (RAB11a),-1.677043,-0.2094625,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1460100,PF14_0574,"zinc finger protein, putative",-1.5145785,-0.2110235,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_0624600,PFF1185w,"SNF2 helicase, putative (ISWI)",-1.1977155,-0.212163,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_0810500,MAL8P1.108,"protein phosphatase, putative",0.316147,-0.2250265,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1113700,PF11_0145,glyoxalase I (GloI),-0.401826,-0.226375,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1464600,PF14_0614,"phosphatase, putative",-0.0349565,-0.2289625,,,,√,,,,,,,,√,,√,√,,,4,NO,YES,,,
PF3D7_0613700,PFF0665c,"syntaxin binding protein, putative",-0.354233,-0.2337165,,,,,,,,,,√,,√,,√,√,,,4,NO,YES,,,
PF3D7_1136400,PF11_0375,"conserved Plasmodium protein, unknown function",0.6353045,-0.235631,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_0722100,MAL7P1.118,"PelOta protein homologue, putative",-1.2020575,-0.2361125,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_1213600,PFL0660w,"dynein light chain 1, putative",-0.9072685,-0.2388535,,,,,,,,,√,,√,√,,,√,,,4,NO,YES,,,
PF3D7_1303200.1,MAL13P1.16,"SNARE protein, putative (VAMP8)",-1.041481,-0.244537,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_0528100,PFE1400c,"beta adaptin protein, putative",-1.2479315,-0.2478915,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1222100,PFL1065c,"conserved Plasmodium protein, unknown function",-0.4907125,-0.251499,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1459000,PF14_0563,ATP-dependent RNA helicase DBP5 (DBP5),-0.29945,-0.258435,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_0109200,PFA0450c,"mRNA cleavage factor-like protein, putative",-0.385496,-0.261088,,,,,,,,,√,√,,√,,,√,,,4,NO,YES,,,
PF3D7_0317300,PFC0760c,"conserved Plasmodium protein, unknown function",-1.3675665,-0.2641655,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1403600,PF14_0033,selenoprotein (Sel1),-1.1294535,-0.270837,,,,,,,,,√,,√,√,,,√,,,4,NO,YES,,,
PF3D7_1353800,PF13_0282,"proteasome subunit, putative",-1.779459,-0.2721075,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1118000,PF11_0186,"conserved Plasmodium protein, unknown function",-0.4490715,-0.275903,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_0704600,MAL7P1.19,"ubiquitin transferase, putative",-0.1305465,-0.276441,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1219900,PFL0960w,"D-ribulose-5-phosphate 3-epimerase, putative",-1.254573,-0.2780545,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1121700,PF11_0225,protein GCN20 (GCN20),-1.45062,-0.2786585,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1315600,MAL13P1.82,phosphatidylinositol synthase (PIS),-1.7679855,-0.280988,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1365500,PF13_0345,"glycine cleavage T protein, putative (GCVT)",-0.0884785,-0.2968725,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_0720800,MAL7P1.110,"Ham1-like protein, putative",1.1192325,-0.3003395,√,,transcribed,,,,,,√,,,√,,√,√,,,4,YES,YES,,,
PF3D7_0723000,PF07_0095,"tRNAHis guanylyltransferase, putative",-0.6868565,-0.315609,,,,,,,,,,√,√,√,,,√,,,4,NO,YES,,,
PF3D7_0519200,PFE0965c,vacuolar ATP synthetase,-1.16819,-0.317592,,,,,,,,,,,,√,,,√,√,√,4,NO,YES,,,
PF3D7_1241900,PFL2015w,"Tetratricopeptide repeat protein, putative",-0.9542505,-0.318506,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
PF3D7_1433600,PF14_0317,"microsomal signal peptidase protein, putative (SPC1)",-0.126628,-0.321691,,,,,,,,,√,,,√,,√,√,,,4,NO,YES,,,
PF3D7_1358900,MAL13P1.294,"GTP binding protein, putative",-0.197288,-0.32307,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
